season,episode
1,1
3,19
3,21
4,18
5,1
5,2
5,10
6,4
6,5
6,8
6,12
7,2
7,3
7,6
7,13
8,1
8,14
8,17
8,18
8,19
9,1
9,4
9,10
10,5
10,11
10,17
12,2
